"distinct_id","user_waynum","country_group","media_source_group","install_date","game_cnt","ad_pv","ad_revenue","usage_duration","active_days"
"AE97A647-3106-40D0-957C-1024A18C45A2_2","9806","其他","DSP","2024-08-30","16","3","0.0221149759","3408.351","4"
"04902A00-06E6-460A-B745-5413ECBAE701","9806","其他","DSP","2024-08-27","2","0","0.0","737.968","1"
"0D3D4BE9-3558-405F-96C3-9191EECCBB2C","9807","日韩台","自然量","2024-08-28","119","24","0.29122268510000004","24269.488999999998","6"
"10BC22B4-AB22-4F0A-958C-C182D7E0ECF4","9807","欧洲","其他流量","2024-08-29","11","6","0.05978","3332.236","3"
"968D0F31-288D-4140-8F4B-4621B3DB24F7","9807","其他","其他流量","2024-08-29","12","11","0.0916228999","2757.3500000000004","1"
"0EA9A0D6-7859-4415-8197-0E0E76755905","9806","其他","自然量","2024-08-28","162","51","0.09226406849999999","18345.739999999998","5"
"C58CF29F-8737-4786-869C-8ACB0C0F9EB2","9807","美国","DSP","2024-08-28","38","12","0.1184609999","6955.708","7"
"0842BB2D-2CCC-445C-B144-B0F7A5DC239D_2","9807","欧洲","自然量","2024-08-29","99","32","0.3111758998","23047.009","7"
"CFA80652-AC16-4214-94A4-747131281E2A_28","9806","欧洲","其他流量","2024-08-29","374","330","0.8483956792999999","57005.077","6"
"035F3510-EA54-493B-A690-177E1FE0B59F","9806","美国","DSP","2024-08-27","303","308","4.559122433100001","46816.350000000006","7"
"C4806BDC-3BD6-4763-9D0F-EE2C696A653D","9807","日韩台","自然量","2024-08-30","139","65","0.6041671612","18350.992000000002","7"
"59F2F3CB-F3BE-4C9B-A895-F94B6C7D215D","9807","美国","其他流量","2024-08-31","63","25","0.4432576156421392","9483.814999999999","6"
"B5965286-3826-441B-B1B0-5F20C95CFD34_2","9807","其他","其他流量","2024-08-29","1","0","0.0","242.742","0"
"5D7C62A2-E433-4605-9D2F-135CF1693765_2","9806","美国","自然量","2024-08-28","31","27","0.0946110057","5891.563000000001","0"
"B9E112A2-8E5C-490A-B0F5-D7444AB073BE_2","9806","其他","其他流量","2024-08-31","132","40","0.20614475089999998","31037.237","7"
"24AC7D1C-7FA2-42BA-8CDC-929335962D5B","9807","欧洲","DSP","2024-08-27","2","0","0.0","316.483","1"
"F655F168-5879-4719-BB08-EAAEBBFB5321","9806","其他","其他流量","2024-08-29","5","0","0.0","995.7620000000001","0"
"F2ED56FC-4087-4BA8-9D11-A55435740A66","9806","其他","其他流量","2024-08-27","8","5","0.033629930648604804","1469.99","3"
